Species,Type
Turdus_aurantius,cup
Turdus_bewsheri,cup
Turdus_boulboul,cup
Turdus_cardis,cup
Turdus_celaenops,cup
Turdus_chiguanco,cup
Turdus_chrysolaus,cup
Turdus_dissimilis,cup
Turdus_falcklandii,cup
Turdus_feae,cup
Turdus_flavipes,cup
Turdus_fumigatus,cup
Turdus_fuscater,cup
Turdus_grayi,cavity or cup
Turdus_hauxwelli,cup
Turdus_helleri,cup
Turdus_hortulorum,cavity or cup
Turdus_ignobilis,cup
Turdus_iliacus,cup
Turdus_infuscatus,cup
Turdus_jamaicensis,cup
Turdus_kessleri,cup
Turdus_lawrencii,cup
Turdus_leucomelas,cup
Turdus_leucops,cup
Turdus_libonyanus,cup
Turdus_maculirostris,cup
Turdus_maximus,cup
Turdus_menachensis,cup
Turdus_merula,cup
Turdus_migratorius,cup
Turdus_mupinensis,cup
Turdus_nigrescens,cup
Turdus_nigriceps,cup
Turdus_nudigenis,cup
Turdus_obscurus,cup
Turdus_obsoletus,cup
Turdus_olivaceofuscus,cup
Turdus_olivaceus,cup
Turdus_olivater,cup
Turdus_pallidus,cup
Turdus_pelios,cup
Turdus_philomelos,cup
Turdus_pilaris,cup
Turdus_plebejus,cup
Turdus_plumbeus,cup
Turdus_poliocephalus,cup
Turdus_reevei,cup
Turdus_rubrocanus,cup
Turdus_ruficollis,cup
Turdus_rufiventris,cup
Turdus_rufopalliatus,cup
Turdus_serranus,cup
Turdus_simillimus,cup
Turdus_swalesi,cup
Turdus_tephronotus,cup
Turdus_torquatus,cup
Turdus_unicolor,cavity or cup
Turdus_viscivorus,cup
Tyranneutes_stolzmanni,cup
Tyrannopsis_sulphurea,cup
Tyrannulus_elatus,cup
Tyrannus_vociferans,cup
Tyrannus_caudifasciatus,cup
Tyrannus_couchii,cup
Tyrannus_crassirostris,cup
Tyrannus_dominicensis,cup
Tyrannus_forficatus,cup
Tyrannus_melancholicus,cup
Tyrannus_savana,cup
Tyrannus_tyrannus,cavity
Tyrannus_verticalis,cup
Upucerthia_albigula,cavity
Ochetorhynchus_andaecola,cavity
Tarphonomus_certhioides,cavity or cup
Upucerthia_dumetaria,cavity
Upucerthia_jelskii,cavity
Ochetorhynchus_ruficaudus,cavity
Geocerthia_serrana,cavity
Upucerthia_validirostris,cavity
Uraeginthus_angolensis,dome
Uraeginthus_bengalus,dome
Uraeginthus_cyanocephalus,dome
Uragus_sibiricus,cup
Urocissa_erythrorhyncha,cup
Uropsila_leucogastra,cavity
Urosphena_squameiceps,cup
Vanga_curvirostris,cup
Oreothlypis_celata,cup
Vermivora_chrysoptera,cup
Oreothlypis_crissalis,cup
Vermivora_cyanoptera,cup
Oreothlypis_luciae,cavity
Oreothlypis_peregrina,cup
Oreothlypis_ruficapilla,cup
Oreothlypis_virginiae,cup
Vidua_camerunensis,brood parasite
Vidua_chalybeata,brood parasite
Vidua_fischeri,brood parasite
Vidua_hypocherina,brood parasite
Vidua_interjecta,brood parasite
Vidua_macroura,brood parasite
Vidua_obtusa,brood parasite
Vidua_orientalis,brood parasite
Vidua_paradisaea,brood parasite
Vidua_purpurascens,brood parasite
Vidua_raricola,brood parasite
Vidua_regia,brood parasite
Vidua_wilsoni,brood parasite
Vireo_altiloquus,cup
Vireo_atricapilla,cup
Vireo_bellii,cup
Vireo_cassinii,cup
Vireo_flavifrons,cup
Vireo_flavoviridis,cup
Vireo_gilvus,cup
Vireo_griseus,cup
Vireo_huttoni,cup
Vireo_latimeri,cup
Vireo_leucophrys,cup
Vireo_olivaceus,cup
Vireo_philadelphicus,cup
Vireo_plumbeus,cup
Vireo_solitarius,cup
Vireo_vicinior,cup
Volatinia_jacarina,cup
Wetmorethraupis_sterrhopteron,cup
Cardellina_canadensis,cup
Setophaga_citrina,cup
Cardellina_pusilla,cup
Woodfordia_superciliosa,cup
Xanthocephalus_xanthocephalus,cup
Xanthomixis_cinereiceps,cup
Xanthomixis_zosterops,cup
Xanthopsar_flavus,cup
Xanthotis_flaviventer,cup
Xenerpestes_singularis,dome
Xenodacnis_parina,cup
Xenoligea_montana,cup
Xenopirostris_xenopirostris,cup
Xenops_minutus,cavity
Xenops_rutilans,cavity
Xenopsaris_albinucha,cup
Xenospiza_baileyi,cup
Xiphirhynchus_superciliaris,dome
Xiphocolaptes_albicollis,cavity
Xiphocolaptes_major,cavity
Dendrocolaptes_sanctithomae,cavity
Xipholena_atropurpurea,cup
Xiphorhynchus_elegans,cavity
Xiphorhynchus_erythropygius,cavity
Xiphorhynchus_flavigaster,cavity
Xiphorhynchus_fuscus,cavity
Xiphorhynchus_guttatus,cavity
Xiphorhynchus_lachrymosus,cavity
Xiphorhynchus_obsoletus,cavity
Dendroplex_picus,cavity
Xiphorhynchus_spixii,cavity
Xiphorhynchus_susurrans,cavity
Xolmis_cinereus,cup
Xolmis_coronatus,cup
Xolmis_irupero,cup
Xolmis_pyrope,cup
Xolmis_rubetra,cup
Yuhina_bakeri,cup or dome
Yuhina_brunneiceps,cup
Yuhina_diademata,cup
Yuhina_flavicollis,cup
Yuhina_gularis,dome
Yuhina_nigrimenta,cup
Yuhina_occipitalis,cup
Zaratornis_stresemanni,cup
Zavattariornis_stresemanni,dome
Zeledonia_coronata,dome
Zimmerius_chrysops,dome
Zimmerius_gracilipes,dome
Zimmerius_vilissimus,dome
Zonotrichia_albicollis,cup
Zonotrichia_atricapilla,cup
Zonotrichia_capensis,cup
Zonotrichia_leucophrys,cup
Zonotrichia_querula,cup
Zoothera_andromedae,cup
Zoothera_camaronensis,cup
Zoothera_citrina,cup
Zoothera_dauma,cup
Zoothera_dixoni,cup
Zoothera_gurneyi,cup
Zoothera_guttata,cup
Zoothera_heinei,cup
Zoothera_interpres,cup
Zoothera_lunulata,cup
Zoothera_marginata,cup
Zoothera_mollissima,cup
Zoothera_monticola,cup
Zoothera_oberlaenderi,cup
Zoothera_piaggiae,cup
Zoothera_princei,cup
Zoothera_sibirica,cup
Zoothera_spiloptera,cup
Zoothera_talaseae,cup
Zoothera_wardii,cup
Zosterops_abyssinicus,cup
Zosterops_atrifrons,cup
Zosterops_borbonicus,cup
Zosterops_chloris,cup
Zosterops_cinereus,cup
Zosterops_citrinella,cup
Zosterops_flavifrons,cup
Zosterops_fuscicapilla,cup
Zosterops_griseotinctus,cup
Zosterops_japonicus,cup
Zosterops_luteus,cup
Zosterops_maderaspatanus,cup
Zosterops_metcalfii,cup
Zosterops_modestus,cup
Zosterops_mouroniensis,cup
Zosterops_murphyi,cup
Zosterops_pallidus,cup
Zosterops_palpebrosus,cup
Zosterops_poliogastrus,cup
Zosterops_rennellianus,cup
Zosterops_senegalensis,cup
Zosterornis_latistriatus,cup
Strigops_habroptila,cavity
