Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
13	-11721.37	-11701.89	-19.4827	0.217673	0.0274448	0.0581757	0.0841174	0.0106057	0.0224814	-1.52476	-3.59558	-2.84429	-0.95078	-0.401422	0.1676673	1.580435	1.887799	1.177317	0.2499116	0.008227738	0.6357883	4.048069	0.103991	0.0984718	0.289005	0.254276	0.159265	0.0949913	0.155656	0.0860761	0.0936411	1.23589	0.683433	0.743498	-1.86011	-2.45252	-2.36829	2.0719	1.24676
14	-11417.65	-11398.39	-19.26238	0.217673	0.0274448	0.0619241	0.0841174	0.0106057	0.0239299	-1.52476	-3.59558	-2.78185	-0.95078	-0.373717	0.1848135	1.580435	1.887799	1.177317	0.3395971	0.006305652	0.4452037	4.048069	0.0640676	0.0606674	0.178053	0.456673	0.169205	0.071335	0.155656	0.0619136	0.0793417	1.23589	0.491585	0.629962	-1.86011	-2.78202	-2.53399	2.0719	1.16845
15	-11206.79	-11185.53	-21.25725	0.234753	0.0256725	0.0619241	0.0900763	0.00985068	0.0237606	-1.44922	-3.66234	-2.78185	-0.957879	-0.382086	0.2777731	1.496754	3.505228	1.193344	0.3395971	0.006420646	0.4085038	4.048069	0.0623375	0.0590292	0.173245	0.444341	0.164635	0.0964121	0.14426	0.0614358	0.0793417	1.14541	0.487792	0.629962	-1.93614	-2.78976	-2.53399	2.0719	1.16845
16	-11107.91	-11082.17	-25.74472	0.234753	0.0279186	0.0656648	0.0856924	0.0101912	0.0239697	-1.44922	-3.57846	-2.72319	-1.00777	-0.382086	0.3089567	1.496754	7.73795	1.813563	0.3395971	0.009778575	0.5493076	2.793388	0.0383644	0.0605384	0.177674	0.455701	0.168845	0.0988771	0.14426	0.0595589	0.0763866	1.11704	0.461181	0.591483	-1.93614	-2.82079	-2.57195	2.04682	1.16845
17	-10969.33	-10942.85	-26.4844	0.27385	0.0279186	0.0656648	0.108024	0.0110128	0.0259023	-1.29517	-3.57846	-2.72319	-0.930231	-0.370995	0.3284601	1.339402	7.73795	1.072086	0.3578834	0.01540232	0.4333289	4.476295	0.0368424	0.0581366	0.210299	0.437622	0.162146	0.0949543	0.14426	0.0595589	0.0772249	1.0366	0.427969	0.554911	-1.93614	-2.82079	-2.56103	1.97209	1.15735
18	-10908.13	-10876.76	-31.3737	0.27385	0.0279186	0.0606313	0.108024	0.0110128	0.0239168	-1.29517	-3.57846	-2.80294	-0.930231	-0.392647	0.3758378	1.283605	11.57064	1.239353	0.293824	0.01540232	0.3304783	5.41977	0.04555	0.0889957	0.260003	0.298402	0.189654	0.117396	0.14426	0.0595589	0.07908	1.0366	0.427969	0.56824	-1.93614	-2.82079	-2.5373	1.97209	1.10723
19	-10770.3	-10738.36	-31.93936	0.299401	0.0279186	0.0602181	0.13037	0.0121567	0.0262211	-1.20597	-3.57846	-2.80978	-0.831409	-0.462736	0.3758378	1.172395	12.94032	2.048613	0.1435866	0.01991831	0.479484	3.870446	0.04555	0.0889957	0.260003	0.298402	0.189654	0.117396	0.14426	0.0595589	0.071885	0.951403	0.392794	0.474085	-1.93614	-2.82079	-2.63269	1.88632	1.10723
20	-10602.57	-10571.52	-31.05664	0.299401	0.030036	0.0602181	0.128368	0.012878	0.0258185	-1.20597	-3.50536	-2.80978	-0.846881	-0.461447	0.4286602	0.9264535	12.94032	3.013389	0.106983	0.0168365	0.4792024	2.610429	0.0186331	0.0956635	0.234889	0.320759	0.203863	0.126192	0.134838	0.0595589	0.0722271	0.827534	0.365528	0.443276	-2.00368	-2.82079	-2.62794	1.81438	1.1319
21	-10479.66	-10447.34	-32.31736	0.319359	0.0317159	0.0661305	0.136925	0.0135982	0.0283535	-1.14144	-3.45094	-2.71612	-0.846881	-0.421269	0.4530293	0.9304377	14.29771	2.55786	0.106983	0.02101789	0.406207	3.079469	0.0666413	0.0909836	0.223399	0.305067	0.19389	0.120019	0.117807	0.0595589	0.0722271	0.670253	0.338857	0.410932	-2.13871	-2.82079	-2.62794	1.73861	1.1319
22	-10354.25	-10324.81	-29.43745	0.311739	0.0340248	0.0661305	0.124458	0.013584	0.0264019	-1.16559	-3.38067	-2.71612	-0.918193	-0.401301	0.5579015	0.8509702	7.86164	2.55786	0.106983	0.0150283	0.4408028	6.615453	0.0806772	0.110146	0.345495	0.208482	0.109902	0.145297	0.117807	0.0561585	0.0722271	0.670253	0.31951	0.410932	-2.13871	-2.87958	-2.62794	1.73861	1.13914
23	-10341.57	-10308.87	-32.69742	0.311739	0.0368161	0.0687125	0.130364	0.0153959	0.0287345	-1.16559	-3.30182	-2.67782	-0.871832	-0.241394	0.5929354	0.882557	12.02827	2.588834	0.1011159	0.0150283	0.2929076	6.073937	0.0563101	0.0768787	0.241145	0.145514	0.0767078	0.403445	0.115939	0.0561585	0.06942	0.659626	0.31951	0.394961	-2.15469	-2.87958	-2.66758	1.73861	1.04786
24	-10221.09	-10189.18	-31.91339	0.311739	0.0368161	0.0674586	0.130364	0.0153959	0.0282101	-1.16559	-3.30182	-2.69624	-0.871832	-0.342093	0.5909764	0.9127822	12.02827	2.224074	0.06456973	0.01569586	0.3617873	5.735823	0.0484666	0.24857	0.207555	0.0821363	0.0660231	0.347248	0.115939	0.0561585	0.064447	0.604089	0.292609	0.335796	-2.15469	-2.87958	-2.74191	1.65066	1.12964
25	-10144.45	-10112.75	-31.69875	0.341912	0.0368161	0.0674586	0.147296	0.0158604	0.0290612	-1.0732	-3.30182	-2.69624	-0.84211	-0.342093	0.5991677	0.758568	12.02827	2.411443	0.07884868	0.01590567	0.3207674	5.500127	0.16004	0.359245	0.074154	0.118707	0.0954195	0.192435	0.107973	0.0561585	0.0642582	0.54395	0.282917	0.323722	-2.22587	-2.87958	-2.74485	1.61697	1.05666
26	-10131.91	-10104.29	-27.62051	0.356182	0.0378192	0.0609059	0.168469	0.017888	0.0288077	-1.03231	-3.27494	-2.79843	-0.748686	-0.336638	0.6233206	0.6992229	12.02827	1.892273	0.120357	0.01128163	0.3207674	2.436559	0.16004	0.359245	0.074154	0.118707	0.0954195	0.192435	0.0936082	0.0561585	0.0642582	0.471582	0.282917	0.323722	-2.36864	-2.87958	-2.74485	1.61697	1.05666
27	-10108.94	-10085.82	-23.1247	0.385923	0.043021	0.0600195	0.182537	0.0203484	0.0283885	-0.952119	-3.14607	-2.81309	-0.748686	-0.403591	0.5787235	0.6172635	8.769339	1.749452	0.05201094	0.008604672	0.3207674	2.436559	0.16004	0.359245	0.074154	0.118707	0.0954195	0.192435	0.0951002	0.0561585	0.0642582	0.479098	0.282917	0.323722	-2.35282	-2.87958	-2.74485	1.61697	0.912134
28	-9879.938	-9857.748	-22.19015	0.391933	0.0408508	0.0561009	0.185379	0.0193219	0.026535	-0.936665	-3.19783	-2.8806	-0.748686	-0.327176	0.5692903	0.6132844	7.752078	1.578276	0.05201094	0.004110469	0.6013439	2.436559	0.16004	0.359245	0.074154	0.118707	0.0954195	0.192435	0.092462	0.0472687	0.0644015	0.465807	0.238132	0.324443	-2.38096	-3.05191	-2.74262	1.61697	0.912134
29	-9820.236	-9804.527	-15.70931	0.391933	0.0428042	0.0654833	0.185379	0.0202459	0.0309728	-0.936665	-3.15112	-2.72596	-0.748686	-0.327176	0.5836389	0.527805	3.987883	0.9872143	0.01920009	0.003263671	0.7987813	1.57491	0.133039	0.298634	0.0616429	0.0986791	0.0793206	0.328685	0.0892402	0.0472687	0.0644015	0.449577	0.238132	0.324443	-2.41642	-3.05191	-2.74262	1.61697	0.911739
30	-9786.36	-9772.927	-13.43249	0.391933	0.0537809	0.0654833	0.185379	0.0254377	0.0309728	-0.936665	-2.92284	-2.72596	-0.748686	-0.275275	0.6299899	0.5006497	3.015452	0.8190144	0.01920009	0.003263671	0.5414332	1.388501	0.103164	0.261711	0.273021	0.0343664	0.0396904	0.288047	0.0871144	0.0472687	0.0628241	0.438867	0.238132	0.316497	-2.44053	-3.05191	-2.76742	1.61697	0.835025
31	-9762.64	-9748.534	-14.10562	0.40222	0.0576764	0.0654833	0.190245	0.0272802	0.0309728	-0.910756	-2.85291	-2.72596	-0.748686	-0.18124	0.7006133	0.4075582	3.015452	1.275841	0.01907936	0.002285212	1.0015	0.9601117	0.101598	0.257738	0.268875	0.0338446	0.0542715	0.283673	0.0795301	0.0472687	0.0628241	0.400659	0.238132	0.316497	-2.53162	-3.05191	-2.76742	1.61697	0.893483
