Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extra[1]	extra[2]	extra[3]	extra[4]	extra[5]	extra[6]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
475	-9640.93	-9655.635	14.70495	0.0538752	0.0473692	0.0827405	0.621851	0.538359	0.712927	0.00213121	0.00215236	0.0229188	0.0064133	0.000555435	0.0014144	0.0008639863	0.1427251	0.004551758	0.001261459	0.002967169	0.001570481	0.007059578	0.008389893	0.0336045	0.49738	0.141684	0.0385112	0.267225	0.0215955	0.06468	0.056521	0.0747772	0.769297	0.672254	0.889391	-2.7383	-2.87314	-2.59324	2.47602	1.52541
476	-9638.93	-9653.687	14.75684	0.0522164	0.0529321	0.0853014	0.592966	0.595021	0.701697	0.00213121	0.00215236	0.0254797	0.0064133	0.000334638	0.00111818	0.0007616112	0.1512404	0.004551758	0.001292778	0.003599784	0.001030017	0.005859625	0.01153219	0.145167	0.314511	0.163225	0.0443662	0.307852	0.0248788	0.0626065	0.0634746	0.0747772	0.733191	0.743358	0.875723	-2.77089	-2.75711	-2.59324	2.46054	1.55113
477	-9637.926	-9652.698	14.7722	0.0543771	0.0480693	0.081965	0.676087	0.598736	0.767052	0.00213121	0.00134496	0.0221788	0.00675318	0.0001406	0.00111818	0.0007376673	0.1550382	0.002773063	0.001292778	0.003599784	0.001330084	0.005859625	0.01153219	0.173358	0.375587	0.194922	0.0796695	0.146754	0.0297101	0.0653074	0.0584054	0.0747328	0.836667	0.748244	0.957418	-2.72865	-2.84035	-2.59384	2.55032	1.55113
478	-9635.115	-9649.795	14.67998	0.0556758	0.0480693	0.0778703	0.66428	0.598693	0.714772	0.00415603	0.00134496	0.0221788	0.00424922	9.77679e-05	0.00129602	0.0005787261	0.1476357	0.002932209	0.001261222	0.003539961	0.001413082	0.006626938	0.0111788	0.185283	0.101448	0.266043	0.108738	0.2003	0.138188	0.0643997	0.0584054	0.0696144	0.825038	0.748244	0.891845	-2.74265	-2.84035	-2.66478	2.55032	1.53813
479	-9636.841	-9651.564	14.72264	0.0547446	0.048382	0.0747555	0.615591	0.578945	0.655802	0.00560676	0.00185453	0.0221788	0.00426893	9.77679e-05	0.00169536	0.0005582623	0.1517081	0.002652578	0.001125653	0.0034062	0.001413082	0.006626938	0.0111788	0.11722	0.0641813	0.149446	0.455007	0.12672	0.0874253	0.0614223	0.0581593	0.0657209	0.764153	0.723559	0.817633	-2.78998	-2.84457	-2.72234	2.521	1.59821
480	-9637.831	-9652.123	14.29183	0.0586993	0.0492824	0.0790469	0.70176	0.603251	0.634648	0.004263	0.00211957	0.0295536	0.00559358	0.000102247	0.00169536	0.0006216155	0.1552962	0.00483642	0.001699076	0.0034062	0.001413082	0.005403481	0.0111788	0.118628	0.0649522	0.151241	0.460473	0.128243	0.0764639	0.0680453	0.0589535	0.0618666	0.870208	0.753935	0.79119	-2.68758	-2.83101	-2.78277	2.54856	1.60025
481	-9638.959	-9653.282	14.32242	0.0583909	0.049154	0.0740437	0.70176	0.593081	0.623861	0.00395463	0.00278639	0.0253938	0.00559358	0.000102247	0.00169536	0.0006219365	0.1451704	0.003775766	0.002806138	0.002467468	0.001413082	0.007528559	0.0111788	0.147849	0.0809519	0.14445	0.14781	0.159832	0.319106	0.0680453	0.0579595	0.0608123	0.870208	0.741224	0.777707	-2.68758	-2.84801	-2.79996	2.54856	1.43839
482	-9639.483	-9654.027	14.54418	0.0550511	0.048729	0.071797	0.707652	0.61944	0.627485	0.00312411	0.00278639	0.0253938	0.00763997	0.000102247	0.0019386	0.0007914308	0.1470736	0.003583249	0.002876262	0.002467468	0.001214465	0.004839249	0.0111788	0.158369	0.0867115	0.253241	0.158327	0.171204	0.172148	0.0649088	0.0574283	0.058004	0.875015	0.774173	0.781933	-2.73477	-2.85722	-2.84724	2.60126	1.42683
483	-9639.564	-9654.145	14.58113	0.056773	0.0497054	0.0677371	0.681756	0.597935	0.66755	0.00376214	0.00278639	0.0155233	0.00630047	0.000102247	0.00225168	0.0008197965	0.1625031	0.00437653	0.002341699	0.00339197	0.0009292963	0.004839249	0.01180473	0.158369	0.0867115	0.253241	0.158327	0.171204	0.172148	0.0662636	0.0586487	0.0652672	0.844319	0.747291	0.831623	-2.71411	-2.83619	-2.72927	2.54489	1.47183
484	-9638.917	-9653.277	14.36053	0.0618101	0.0484315	0.069975	0.762326	0.584236	0.662557	0.00245884	0.00266657	0.0181907	0.00477938	0.000102247	0.00159273	0.0008197965	0.1535254	0.00437653	0.002341699	0.003085001	0.0013953	0.004839249	0.01180473	0.136331	0.074645	0.229033	0.136294	0.14738	0.276317	0.0741891	0.0572062	0.0647304	0.946934	0.730167	0.826205	-2.60114	-2.86109	-2.73752	2.54661	1.57007
485	-9637.67	-9652.364	14.69334	0.0616113	0.0488322	0.069975	0.717	0.562624	0.62599	0.00245884	0.00211275	0.0181907	0.00477938	0.000102247	0.00248437	0.0007710876	0.1496251	0.00437653	0.001839186	0.003093963	0.0013953	0.004839249	0.008933553	0.113018	0.0618809	0.189869	0.182469	0.122178	0.330584	0.0739406	0.0583993	0.0647304	0.890276	0.703152	0.779382	-2.60449	-2.84045	-2.73752	2.48827	1.57007
486	-9637.408	-9651.921	14.5123	0.0607825	0.051072	0.0649567	0.709514	0.585731	0.572274	0.00245884	0.00243502	0.0176337	0.00727194	0.000121311	0.00248437	0.0007433248	0.1481024	0.003699578	0.00196567	0.003417505	0.001138842	0.007472131	0.008933553	0.102256	0.151211	0.171789	0.165094	0.110544	0.299105	0.0729046	0.0607962	0.0591538	0.877802	0.732012	0.712237	-2.6186	-2.80023	-2.82761	2.48827	1.60566
487	-9637.148	-9651.797	14.64857	0.0605702	0.0518858	0.0675966	0.709514	0.585833	0.604059	0.00224658	0.00324887	0.0176337	0.00727194	0.000223227	0.00248437	0.0008190973	0.1550827	0.003214202	0.001749422	0.002978692	0.001138842	0.007472131	0.00993773	0.0756321	0.111841	0.127061	0.205124	0.259115	0.221227	0.0729046	0.0607962	0.0624536	0.877802	0.732012	0.751968	-2.6186	-2.80023	-2.77333	2.48827	1.63001
488	-9637.242	-9651.76	14.51745	0.0546659	0.0556683	0.0706225	0.638423	0.631876	0.640492	0.00224658	0.00324887	0.0176337	0.00727194	0.00072429	0.00248437	0.001004302	0.1619618	0.003535703	0.001458378	0.002952054	0.001063667	0.007472131	0.01136629	0.0756321	0.111841	0.127061	0.205124	0.259115	0.221227	0.0655241	0.0655243	0.066236	0.788939	0.78894	0.797509	-2.72534	-2.72533	-2.71453	2.48827	1.78435
489	-9638.914	-9653.277	14.36305	0.0582597	0.0556683	0.0759346	0.725254	0.662085	0.666008	0.0015265	0.00324887	0.0233112	0.00990882	0.00113294	0.00248437	0.001127864	0.1549976	0.004578075	0.001072169	0.003469747	0.001171153	0.007472131	0.01136629	0.105423	0.0260209	0.144691	0.285921	0.129577	0.308367	0.0709165	0.0655243	0.0657792	0.894181	0.826191	0.829405	-2.64625	-2.72533	-2.72145	2.5344	1.80483
490	-9638.201	-9652.472	14.27164	0.0581188	0.0498575	0.0779015	0.722052	0.588818	0.692143	0.00184175	0.00324887	0.0233112	0.0124598	0.00113294	0.0038188	0.001574004	0.1549976	0.003235527	0.002315341	0.003469747	0.001171153	0.007674234	0.009298785	0.236696	0.0222025	0.123459	0.243964	0.110563	0.263116	0.0703463	0.0582608	0.0682378	0.886991	0.734606	0.860406	-2.65433	-2.84283	-2.68476	2.5344	1.72392
491	-9637.752	-9652.252	14.50046	0.0523885	0.0500206	0.0749095	0.659743	0.593258	0.6967	0.00125992	0.00324887	0.0203192	0.0124598	0.00113294	0.00559222	0.001870507	0.155502	0.003722823	0.002292567	0.003469747	0.0009794917	0.005291383	0.009298785	0.301629	0.020053	0.101447	0.220345	0.118883	0.237643	0.0639107	0.0584646	0.0682378	0.809104	0.740156	0.863884	-2.75027	-2.83933	-2.68476	2.53844	1.67054
492	-9639.778	-9654.365	14.58668	0.0577558	0.0532293	0.0836628	0.730372	0.613943	0.718669	0.00108191	0.00488065	0.0276118	0.0125636	0.0015786	0.00874925	0.001901561	0.163342	0.003226204	0.00191615	0.003067646	0.001363897	0.005291383	0.009298785	0.255035	0.0169553	0.0857759	0.186307	0.254994	0.200933	0.0708424	0.0604358	0.0700638	0.89726	0.765455	0.8874	-2.6473	-2.80617	-2.65835	2.53889	1.67434
493	-9643.929	-9658.418	14.4897	0.0581294	0.0536929	0.081777	0.794538	0.669492	0.755183	0.000909723	0.00488065	0.0276118	0.011659	0.00164325	0.0140954	0.001966926	0.150832	0.003226204	0.00264572	0.003067646	0.001024536	0.005291383	0.009298785	0.167336	0.00845973	0.0529271	0.122241	0.167309	0.481727	0.0715246	0.0610153	0.0677065	0.978598	0.83481	0.92636	-2.63771	-2.79663	-2.69257	2.61608	1.67434
494	-9639.947	-9654.284	14.33691	0.0533031	0.0506731	0.0906643	0.72659	0.635568	0.724441	0.000909723	0.00398706	0.0384291	0.0162654	0.00262078	0.0162611	0.001714083	0.1564476	0.003226204	0.002617467	0.003638423	0.001024536	0.005291383	0.009298785	0.119305	0.00603149	0.14469	0.0871537	0.299366	0.343454	0.0654917	0.0583575	0.065294	0.887906	0.791184	0.885225	-2.72583	-2.84117	-2.72886	2.60694	1.64691
495	-9643.173	-9657.27	14.09711	0.0573991	0.0500575	0.0867346	0.774526	0.616183	0.734052	0.000978595	0.00466111	0.0336266	0.011965	0.00262078	0.0162611	0.001900528	0.1582425	0.003192901	0.003259133	0.003638423	0.001609976	0.005038059	0.009977869	0.117501	0.00594032	0.142503	0.0858363	0.309957	0.338263	0.0705256	0.0567454	0.0663851	0.953201	0.766953	0.897239	-2.65178	-2.86918	-2.71228	2.60385	1.58245
496	-9642.482	-9656.926	14.44323	0.0587702	0.0486411	0.0991674	0.795091	0.624033	0.798337	0.000828169	0.00266393	0.0419285	0.011965	0.00262078	0.0247137	0.001712357	0.155911	0.00396788	0.00208465	0.003638423	0.001609976	0.004922671	0.006318379	0.12252	0.00619404	0.148589	0.0895026	0.280484	0.352711	0.0724276	0.0574715	0.0715487	0.978907	0.776766	0.967029	-2.62517	-2.85647	-2.63738	2.60385	1.61166
497	-9642.747	-9656.904	14.15703	0.059146	0.0488735	0.0922542	0.782892	0.614815	0.689307	0.00120395	0.00315057	0.0419285	0.00755161	0.00298348	0.0158831	0.001505081	0.1554671	0.004931876	0.001704078	0.003638423	0.001609976	0.004922671	0.009064434	0.0903986	0.00806354	0.193437	0.169256	0.0796783	0.459166	0.0724276	0.0571536	0.0629072	0.969175	0.76479	0.84178	-2.62517	-2.86201	-2.76609	2.59386	1.68818
498	-9643.755	-9658.183	14.42871	0.0595089	0.0488735	0.0896924	0.790224	0.614815	0.655026	0.00150902	0.00315057	0.0419285	0.0141108	0.00298348	0.0158831	0.001640748	0.1506843	0.003968527	0.001825802	0.003365405	0.001609976	0.004396861	0.009064434	0.114112	0.0101788	0.244179	0.213656	0.10058	0.317295	0.0724998	0.0571536	0.0597048	0.970141	0.76479	0.798928	-2.62417	-2.86201	-2.81834	2.59386	1.55539
499	-9641.232	-9655.643	14.41053	0.0584987	0.050394	0.0742667	0.76917	0.647057	0.656494	0.0023067	0.00220858	0.0265029	0.0172479	0.00227399	0.017351	0.001439628	0.1516286	0.003968527	0.001825802	0.003365405	0.001609976	0.004396861	0.009064434	0.0955207	0.0073941	0.359842	0.178847	0.0927953	0.265601	0.07024	0.0602318	0.0597048	0.939902	0.805979	0.798928	-2.65584	-2.80956	-2.81834	2.59386	1.61073
500	-9641.362	-9655.819	14.45777	0.0537902	0.0518778	0.0733955	0.700036	0.657415	0.634872	0.00172256	0.00152572	0.0256316	0.0225738	0.00227399	0.0134079	0.001429477	0.1548939	0.003968527	0.001904104	0.003365405	0.001526745	0.003770006	0.01004484	0.10919	0.0152059	0.364565	0.101354	0.106075	0.30361	0.0650846	0.0629401	0.0597048	0.846828	0.818926	0.776831	-2.73207	-2.76557	-2.81834	2.56581	1.61123
501	-9639.281	-9653.692	14.41145	0.0509806	0.0487265	0.0769411	0.665621	0.60969	0.677936	0.0013297	0.00178913	0.0256316	0.0225738	0.00178757	0.0134079	0.001480161	0.1571979	0.00459826	0.001481229	0.003398822	0.001526745	0.004383391	0.01004484	0.126085	0.0175587	0.420974	0.117036	0.0790429	0.239303	0.0620637	0.0586717	0.0641369	0.803809	0.759878	0.83066	-2.77959	-2.8358	-2.74674	2.5612	1.61123
502	-9640.414	-9654.746	14.33255	0.0511811	0.0487265	0.0757193	0.63312	0.597363	0.654204	0.00274733	0.00178913	0.0256316	0.0188475	0.00206918	0.0189551	0.001874788	0.1465289	0.002873122	0.002101926	0.003398822	0.001526745	0.005293406	0.01004484	0.126085	0.0175587	0.420974	0.117036	0.0790429	0.239303	0.0605422	0.0586717	0.0626096	0.76784	0.744118	0.794061	-2.80441	-2.8358	-2.77084	2.54024	1.65878
503	-9639.907	-9654.423	14.51547	0.0471296	0.0482573	0.0751351	0.589499	0.597672	0.638768	0.00194147	0.00116165	0.0256316	0.0188475	0.00293106	0.0136206	0.00164238	0.1475126	0.002590588	0.002101926	0.003398822	0.001134855	0.005614033	0.01004484	0.183761	0.0255906	0.0739555	0.170572	0.197353	0.348768	0.0564852	0.0588696	0.0618794	0.713314	0.743426	0.781435	-2.87378	-2.83243	-2.78257	2.53594	1.62493
504	-9639.034	-9653.551	14.51759	0.0498596	0.0465261	0.0785222	0.619474	0.580154	0.683306	0.00194147	0.00100299	0.0256316	0.0118832	0.00293106	0.0126659	0.001394084	0.1475126	0.002986625	0.002188237	0.00384976	0.000766593	0.005944817	0.01004484	0.0647499	0.06013	0.0501358	0.196345	0.227173	0.401466	0.0598977	0.0569039	0.0661132	0.759489	0.721529	0.8383	-2.81512	-2.86639	-2.71639	2.54001	1.68815
505	-9639.227	-9653.688	14.46112	0.0496485	0.0456223	0.0798106	0.650144	0.602231	0.788912	0.00173036	0.000513752	0.021422	0.0130969	0.00253607	0.0126659	0.001544748	0.1475126	0.003943354	0.001537758	0.002810329	0.000766593	0.008522849	0.01004484	0.0811876	0.0872211	0.0628635	0.244515	0.284845	0.239368	0.0598977	0.0563857	0.0729858	0.796308	0.749618	0.970307	-2.81512	-2.87554	-2.61749	2.58735	1.74927
506	-9637.396	-9651.918	14.52191	0.0463709	0.0457314	0.0792192	0.599063	0.596049	0.770837	0.00179068	0.000513752	0.021422	0.0130969	0.00170345	0.0111453	0.001875297	0.1511256	0.003943354	0.001537758	0.002810329	0.001064516	0.005676697	0.008832694	0.0851168	0.0430453	0.0659059	0.256349	0.29863	0.250953	0.0557252	0.0565221	0.0722465	0.732457	0.742932	0.949615	-2.88732	-2.87312	-2.62767	2.57597	1.7697
507	-9640.528	-9655.117	14.5893	0.0428005	0.0479965	0.0905868	0.554257	0.627847	0.757156	0.00162897	0.000359628	0.0338567	0.0130954	0.00170345	0.0114898	0.001361143	0.1431127	0.002855434	0.001537758	0.002537445	0.001423708	0.005224181	0.008864811	0.0747359	0.0377955	0.057868	0.225084	0.38417	0.220347	0.0514644	0.0595461	0.0709127	0.676452	0.782679	0.932082	-2.96687	-2.821	-2.64631	2.57597	1.7697
508	-9636.635	-9650.908	14.27335	0.0467858	0.0467699	0.0872371	0.606641	0.611562	0.709989	0.00162897	0.000371954	0.0338567	0.0130954	0.00170345	0.00835148	0.001263029	0.1396397	0.003285524	0.001537758	0.00305431	0.001423708	0.007126824	0.008864811	0.0747359	0.0377955	0.057868	0.225084	0.38417	0.220347	0.056446	0.0579974	0.0667256	0.741932	0.762323	0.877047	-2.87447	-2.84736	-2.70717	2.57597	1.78973
509	-9637.546	-9651.688	14.14257	0.0436131	0.0467195	0.0831217	0.561503	0.610644	0.781018	0.00162897	0.000371954	0.0251106	0.00965937	0.00144842	0.0185138	0.001304075	0.1467553	0.005132196	0.001537758	0.00305431	0.001609092	0.00539731	0.009808037	0.0412682	0.0333319	0.0510339	0.198502	0.48154	0.194324	0.0524802	0.0579344	0.072514	0.689804	0.761495	0.95313	-2.94732	-2.84844	-2.62398	2.57597	1.71112
510	-9638.501	-9652.498	13.99677	0.0425771	0.0465094	0.0805596	0.546446	0.610413	0.747341	0.00179886	0.000161878	0.0251106	0.0104527	0.00121664	0.0185138	0.001340518	0.1493689	0.005346988	0.002366984	0.00305431	0.001093114	0.006354957	0.009808037	0.0372883	0.0334702	0.0512457	0.199326	0.483539	0.195131	0.0509728	0.0579344	0.0693113	0.669991	0.761495	0.911034	-2.97646	-2.84844	-2.66915	2.57597	1.69479
511	-9639.21	-9653.029	13.81914	0.0418925	0.0438185	0.0835602	0.549079	0.580567	0.709711	0.00111423	0.000168373	0.0314312	0.00838538	0.00179479	0.0185138	0.001535233	0.1447752	0.004189755	0.002381406	0.00305431	0.001093114	0.007316326	0.01119881	0.0326226	0.0292823	0.0215703	0.322774	0.423036	0.170715	0.0509728	0.0545626	0.0651612	0.675867	0.723465	0.863996	-2.97646	-2.90841	-2.73089	2.5847	1.78602
512	-9636.897	-9651.286	14.38954	0.0490007	0.0438185	0.088298	0.625121	0.56892	0.756344	0.00153223	0.000168373	0.0314312	0.00838538	0.00179479	0.0175007	0.001625576	0.1429519	0.004036021	0.002046153	0.002988327	0.001093114	0.00600658	0.008386708	0.0354999	0.031865	0.0234729	0.351243	0.372148	0.185772	0.0593356	0.0545626	0.0710835	0.770919	0.708907	0.923555	-2.82455	-2.90841	-2.6439	2.56437	1.70571
513	-9635.531	-9650.013	14.48165	0.046127	0.0438093	0.0874307	0.622491	0.594852	0.782547	0.000932916	0.000159223	0.0314312	0.00838538	0.00172708	0.0216163	0.001644258	0.1444128	0.003053803	0.001634838	0.0032371	0.001335858	0.00600658	0.008386708	0.0346232	0.0310781	0.0228932	0.286754	0.362957	0.261694	0.0564926	0.0545626	0.0699993	0.767632	0.741407	0.951164	-2.87365	-2.90841	-2.65927	2.6092	1.64306
514	-9636.385	-9651.031	14.64602	0.0486234	0.0475279	0.0883821	0.662331	0.645382	0.729409	0.000821185	0.000159223	0.0362933	0.0127863	0.00172708	0.0216163	0.001178485	0.1524626	0.004257757	0.001128546	0.003282502	0.001262088	0.00600658	0.006765629	0.0254991	0.0228882	0.0168603	0.211187	0.267309	0.456256	0.0597527	0.0592109	0.065111	0.811931	0.804568	0.884741	-2.81754	-2.82665	-2.73166	2.6092	1.64306
515	-9639.343	-9653.876	14.53364	0.049686	0.0517566	0.0916198	0.590875	0.612567	0.680922	0.000821185	9.71065e-05	0.0362933	0.0127863	0.00141651	0.02639	0.001172707	0.1524626	0.004257757	0.001128546	0.003282502	0.001262088	0.007360782	0.008621941	0.0254991	0.0228882	0.0168603	0.211187	0.267309	0.456256	0.0610811	0.0645744	0.0691581	0.722611	0.763938	0.818165	-2.79555	-2.73994	-2.67136	2.47067	1.73131
516	-9638.469	-9652.796	14.32639	0.0483017	0.0473755	0.0937105	0.580381	0.575805	0.774976	0.00117952	0.000108631	0.0321018	0.00781603	0.00148129	0.02639	0.001194555	0.1434845	0.00327234	0.00208099	0.002697005	0.001262088	0.008327276	0.01110562	0.0254991	0.0228882	0.0168603	0.211187	0.267309	0.456256	0.0589027	0.0590836	0.0770109	0.715707	0.717905	0.935732	-2.83187	-2.8288	-2.56381	2.49738	1.64941
517	-9642.043	-9656.394	14.35061	0.0483017	0.051288	0.0925852	0.580381	0.622707	0.761303	0.00117952	0.000108631	0.0321018	0.00781603	0.000843646	0.02639	0.001146522	0.1548717	0.00327234	0.003039013	0.002697005	0.002331313	0.004183853	0.008056578	0.0247069	0.0692668	0.0163364	0.204625	0.242985	0.44208	0.0589027	0.0639743	0.0756043	0.715707	0.777329	0.918641	-2.83187	-2.74927	-2.58224	2.49738	1.65915
518	-9640.322	-9654.885	14.56275	0.0495059	0.0477625	0.101321	0.592671	0.57987	0.872652	0.0013723	0.000108579	0.0321018	0.00781603	0.000843646	0.0315981	0.0009548802	0.1540484	0.002677075	0.001576353	0.002972048	0.002331313	0.006593062	0.008253782	0.0727129	0.0806372	0.0190181	0.238215	0.282872	0.306544	0.0601671	0.0595675	0.0865235	0.731069	0.723784	1.05132	-2.81063	-2.82065	-2.44734	2.49738	1.58905
519	-9641.137	-9655.631	14.49354	0.0497318	0.0450554	0.101482	0.648468	0.590984	0.940802	0.000931144	0.000108579	0.0321018	0.00781603	0.000924377	0.0299793	0.001020924	0.1507917	0.002613878	0.001314449	0.002972048	0.002331313	0.006593062	0.008915909	0.170952	0.159821	0.0269346	0.0684946	0.139651	0.434147	0.0610008	0.0561836	0.0867257	0.800815	0.737574	1.13853	-2.79687	-2.87913	-2.44501	2.57474	1.62982
520	-9640.595	-9654.946	14.35147	0.0453045	0.0472068	0.101482	0.586082	0.619573	0.940802	0.000931144	9.59002e-05	0.0321018	0.00355147	0.00110396	0.0299793	0.001030007	0.1587436	0.002613878	0.001846797	0.002796854	0.001993589	0.006593062	0.008915909	0.262844	0.14293	0.0198165	0.0612556	0.124892	0.388263	0.0554667	0.0588887	0.0867257	0.728163	0.773086	1.13853	-2.89197	-2.83211	-2.44501	2.57474	1.68751
521	-9641.362	-9655.845	14.48314	0.0445945	0.0489216	0.0988968	0.530386	0.592059	0.837646	0.000931144	9.59002e-05	0.0321018	0.00242193	0.00167284	0.0299793	0.001030007	0.1624633	0.003528306	0.001846797	0.003349045	0.001993589	0.0052109	0.007098252	0.362164	0.153156	0.0212343	0.0656384	0.0330831	0.364724	0.0545792	0.0610321	0.0834938	0.659956	0.737983	1.00958	-2.9081	-2.79636	-2.48298	2.49252	1.62877
522	-9636.122	-9650.369	14.24676	0.0479388	0.0486879	0.0916182	0.571227	0.589291	0.740759	0.000931144	9.98967e-05	0.0321018	0.00282397	0.00177862	0.0211038	0.001106185	0.1475157	0.004089163	0.002070274	0.002573061	0.001993589	0.006306347	0.00866892	0.254853	0.186155	0.0258094	0.0797806	0.0100963	0.443306	0.0587596	0.0607351	0.0743955	0.710504	0.734391	0.899569	-2.8343	-2.80123	-2.59836	2.49252	1.70383
523	-9635.107	-9649.353	14.24632	0.0490052	0.0492691	0.0960614	0.607517	0.61846	0.741253	0.000931144	9.98967e-05	0.0379902	0.00457026	0.00177862	0.012922	0.000944067	0.1451174	0.003365186	0.003182398	0.003108345	0.001424651	0.006306347	0.00895554	0.254853	0.186155	0.0258094	0.0797806	0.0100963	0.443306	0.0600926	0.0614615	0.072589	0.753683	0.770851	0.910414	-2.81187	-2.78934	-2.62294	2.52909	1.61858
524	-9638.606	-9652.971	14.36503	0.0491636	0.0492705	0.0993949	0.631973	0.632023	0.799463	0.000885854	0.000101321	0.0379902	0.0135778	0.00220905	0.012922	0.0009833293	0.156459	0.00271696	0.003182398	0.00277747	0.001902288	0.004739139	0.00900747	0.181368	0.265973	0.0368758	0.113988	0.0144254	0.387369	0.0603471	0.0614615	0.0767559	0.772994	0.787268	0.983177	-2.80764	-2.78934	-2.56712	2.55016	1.62857
525	-9635.629	-9650.171	14.54267	0.0491243	0.0504802	0.0945796	0.619089	0.632743	0.767441	0.000619239	6.35621e-05	0.0343173	0.011778	0.00149774	0.012922	0.001121594	0.1598886	0.003181301	0.002197897	0.002895275	0.00171515	0.004739139	0.00900747	0.181368	0.265973	0.0368758	0.113988	0.0144254	0.387369	0.0606313	0.0630208	0.0753279	0.759139	0.789056	0.943148	-2.80294	-2.76429	-2.5859	2.52737	1.62857
526	-9636.168	-9651.087	14.91958	0.0530415	0.0502	0.108019	0.693355	0.658904	0.789495	0.000728327	6.35621e-05	0.048476	0.00740703	0.00149774	0.00874177	0.001009247	0.1571776	0.003181301	0.001418487	0.002895275	0.001455011	0.004739139	0.00900747	0.181368	0.265973	0.0368758	0.113988	0.0144254	0.387369	0.0653915	0.0626706	0.0744292	0.857435	0.821758	0.975941	-2.72736	-2.76986	-2.59791	2.57355	1.52573
527	-9635.803	-9650.641	14.83846	0.0540257	0.0499328	0.108019	0.65916	0.621729	0.749291	0.00119112	6.35621e-05	0.048476	0.00204857	0.00149774	0.00874177	0.00109084	0.1586336	0.004115147	0.001336324	0.002895275	0.001455011	0.004700659	0.00981321	0.391982	0.208932	0.0289674	0.0544933	0.0113317	0.304293	0.0660432	0.0623366	0.0744292	0.821389	0.775289	0.925687	-2.71745	-2.77521	-2.59791	2.52069	1.53037
528	-9635.948	-9650.908	14.95968	0.0539537	0.048432	0.0901988	0.642645	0.585906	0.73489	0.000934911	6.35621e-05	0.0306554	0.00204857	0.00149774	0.0154606	0.0009106354	0.1600729	0.00373179	0.0008696241	0.003329604	0.001451558	0.006826461	0.008216166	0.48384	0.257894	0.0357557	0.0672634	0.0139872	0.141259	0.0662735	0.0604605	0.0744292	0.800745	0.73051	0.899286	-2.71397	-2.80576	-2.59791	2.49175	1.54429
529	-9634.695	-9649.404	14.70902	0.0511524	0.0484274	0.090407	0.662662	0.637787	0.801496	0.000934911	5.896e-05	0.0306554	0.00204857	0.00149774	0.0154606	0.001147534	0.1532762	0.003968692	0.001945372	0.003329604	0.001692668	0.004857662	0.008216166	0.109313	0.445022	0.0617001	0.11607	0.0241363	0.243758	0.0627719	0.0604605	0.0746895	0.825767	0.795361	0.982544	-2.76825	-2.80576	-2.59442	2.57681	1.35535
530	-9636.102	-9650.773	14.6709	0.0479918	0.0459348	0.101204	0.621977	0.605286	0.777721	0.000866971	8.07591e-05	0.0432594	0.00204857	0.00207363	0.0154606	0.001204356	0.1562726	0.002984762	0.002543439	0.00257974	0.001692668	0.004857662	0.008216166	0.0867417	0.353131	0.0489599	0.0921031	0.0191525	0.399912	0.058906	0.0573176	0.0724305	0.774911	0.754016	0.952826	-2.83181	-2.85915	-2.62513	2.57681	1.43658
531	-9638.821	-9653.251	14.43008	0.0503089	0.0490706	0.101822	0.633072	0.624043	0.755601	0.000540184	0.000107933	0.0432594	0.00204857	0.00323894	0.0130782	0.001092558	0.1604211	0.004759626	0.001654753	0.00257974	0.001692668	0.005965735	0.01248631	0.0798002	0.324872	0.0450419	0.164757	0.0176198	0.367909	0.0622109	0.0612034	0.0732033	0.788779	0.776005	0.928153	-2.77722	-2.79355	-2.61451	2.53996	1.43658
532	-9638.694	-9653.055	14.36105	0.0473855	0.0495223	0.0861988	0.596006	0.629698	0.770657	0.000540184	0.000114948	0.0264486	0.00204857	0.00325662	0.0130782	0.001112286	0.1648378	0.003965888	0.001504692	0.003360101	0.001403798	0.007733498	0.01248631	0.0942415	0.296621	0.0461491	0.208507	0.0185664	0.335915	0.0585566	0.0617592	0.0746877	0.742446	0.783052	0.946974	-2.83776	-2.78451	-2.59444	2.53996	1.4862
533	-9634.425	-9648.551	14.12566	0.0474258	0.0451401	0.0724056	0.617816	0.593866	0.711762	0.000540184	0.000114948	0.0191413	0.00280235	0.00325662	0.0130782	0.0008532965	0.1469275	0.004589672	0.002592103	0.003584717	0.001195523	0.007733498	0.01092838	0.0601789	0.18941	0.0294689	0.343686	0.0118558	0.365401	0.0586071	0.0562815	0.0665804	0.768767	0.738261	0.873355	-2.8369	-2.87739	-2.70935	2.57393	1.40373
