Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extra[1]	extra[2]	extra[3]	extra[4]	extra[5]	extra[6]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
13	-13647.69	-13647.5	-0.1968115	0.79704	0.664889	0.0626167	0.137927	3.42528	0.180235	0.769559	0.00413038	0.0278369	0.024309	0.693437	0.0364405	0.2622329	1.266643	0.01425249	0.333691	0.1874911	0.0700291	0.01688327	0.4670938	0.146282	0.0745159	0.382097	0.35687	0.00689082	0.0333439	0.0343514	0.825948	0.0434749	0.142022	3.4148	0.179743	-3.37111	-0.191223	-3.13557	1.41934	0.302457
14	-13590.92	-13590.43	-0.4888176	0.794777	0.620793	0.0545707	0.12857	3.25217	0.161327	0.769559	0.00190607	0.0222388	0.024309	0.693437	0.0276535	0.2405119	1.178071	0.01775818	0.333691	0.1874911	0.0700291	0.02186172	0.5135412	0.146282	0.0745159	0.382097	0.35687	0.00689082	0.0333439	0.0315223	0.773609	0.0404149	0.130326	3.19841	0.167092	-3.45706	-0.256689	-3.20856	1.41934	0.35789
15	-13486.81	-13487.12	0.3124978	0.790988	0.595423	0.0545707	0.111527	3.36177	0.172828	0.769559	0.00115677	0.0222388	0.015309	0.693437	0.0276535	0.2032942	0.9188026	0.009135416	0.3427803	0.1800529	0.04149923	0.02186172	0.5135412	0.0886952	0.446572	0.187399	0.252938	0.0041781	0.0202174	0.0267861	0.742832	0.0404149	0.120273	3.33541	0.181468	-3.61987	-0.297285	-3.20856	1.50188	0.320144
16	-13386.38	-13387.6	1.220138	0.790988	0.595589	0.0519359	0.106659	3.16451	0.158001	0.769559	0.00132277	0.0222388	0.0104408	0.496177	0.0246566	0.1839513	0.9176124	0.009135416	0.3215749	0.1800529	0.03293631	0.02250989	0.3544585	0.0896431	0.451344	0.189402	0.229679	0.0194983	0.0204334	0.0267861	0.742832	0.0371214	0.120273	3.33541	0.16668	-3.61987	-0.297285	-3.29356	1.50188	0.282651
17	-13269.27	-13271.24	1.97382	0.665746	0.584358	0.051741	0.100003	3.11169	0.150917	0.645799	0.00185655	0.0218326	0.0104408	0.496177	0.0166246	0.165278	0.8489501	0.006290746	0.1978136	0.1800529	0.03293631	0.02425292	0.3858484	0.381219	0.178505	0.18167	0.220304	0.0187024	0.0195993	0.0249332	0.728127	0.0373855	0.111953	3.26939	0.167866	-3.69156	-0.31728	-3.28647	1.50188	0.278292
18	-13215.46	-13217.17	1.707391	0.662759	0.584358	0.0455416	0.0865893	3.089	0.14585	0.645799	0.00185655	0.0167618	0.0104408	0.473489	0.0166246	0.1423023	0.7528805	0.008248348	0.2167879	0.1800529	0.03293631	0.02631604	0.3858484	0.371417	0.173915	0.176999	0.214639	0.0439345	0.0190954	0.0211988	0.728127	0.0359747	0.0951856	3.26939	0.161531	-3.85381	-0.31728	-3.32494	1.50188	0.253753
19	-13144.78	-13147.02	2.240165	0.661345	0.585089	0.0451084	0.085254	2.92838	0.139862	0.645799	0.00258757	0.0167618	0.0154543	0.31287	0.0125827	0.1224683	0.6567092	0.01222854	0.2167879	0.1957113	0.02278112	0.01512407	0.3858484	0.409909	0.191939	0.195342	0.144324	0.0484876	0.00999866	0.0194314	0.728127	0.0354331	0.0872496	3.26939	0.159099	-3.94086	-0.31728	-3.34011	1.50188	0.257293
20	-12944.55	-12947.45	2.897349	0.507479	0.535612	0.0416938	0.0907042	2.70189	0.129611	0.491413	0.00355155	0.0157807	0.018562	0.31287	0.0132574	0.09620672	0.5823143	0.01108419	0.2167879	0.1957113	0.02278112	0.01177241	0.3858484	0.285932	0.291535	0.106689	0.262791	0.0462732	0.00677996	0.0200836	0.665075	0.0323914	0.0901778	2.98627	0.145442	-3.90785	-0.407855	-3.42986	1.50188	0.262175
21	-12789.84	-12793.39	3.548049	0.368072	0.50316	0.0399651	0.0940967	2.64091	0.131959	0.351935	0.00582092	0.0157807	0.018562	0.31287	0.0187519	0.07535204	0.5338769	0.01108419	0.2167879	0.1957113	0.02008032	0.007492149	0.3887782	0.28602	0.291499	0.106676	0.262758	0.0462675	0.00677913	0.0201706	0.621674	0.0302306	0.0944184	2.91005	0.141509	-3.90353	-0.475339	-3.4989	1.54351	0.216831
22	-12483.97	-12488.64	4.666361	0.229394	0.417423	0.0331142	0.0932299	2.29895	0.142333	0.213913	0.00565275	0.0089298	0.018562	0.31287	0.0256849	0.05688351	0.5078389	0.009886126	0.2167879	0.1283858	0.01579937	0.006839919	0.3887782	0.0763786	0.251734	0.0921237	0.226914	0.346995	0.00585435	0.0193509	0.514713	0.0302306	0.0933349	2.4826	0.14581	-3.94501	-0.664145	-3.4989	1.57345	0.0619107
