Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra[1]	extra[2]	extra[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
22	-17619.09	-17608.19	-10.90417	0.672304	1.29326	3.93605	0.0036009	1.22293	3.80518	-0.179272	-2.43137	-1.81045	0.2731997	0.02462078	0.7179259	0.1525812	0.4574953	0.219205	0.442137	0.282302	0.27556	0.835879	0.0879165	0.163581
23	-17542.92	-17532.17	-10.75596	0.718201	1.27799	3.92288	0.0010069	1.21048	3.80518	-0.109265	-2.47226	-1.91648	0.2731997	0.02763815	0.7179259	0.1525812	0.4289638	0.1607743	0.529726	0.338228	0.132046	0.896492	0.0843937	0.147124
24	-17387.07	-17377.14	-9.929175	0.78471	1.27799	3.94656	0.000595894	1.21048	3.8173	-0.0200568	-2.47226	-1.82284	0.2731997	0.02763815	0.489514	0.1235836	0.2509131	0.1607743	0.691446	0.0669775	0.241576	0.980143	0.0843937	0.161567
25	-17308.7	-17299.02	-9.680241	0.865889	1.2586	3.90241	0.000595894	1.19365	3.79125	0.0784568	-2.51098	-1.97369	0.2800309	0.02763815	0.489514	0.1189694	0.1975037	0.1286584	0.691446	0.0669775	0.241576	1.08162	0.0811883	0.138943
26	-17207.39	-17198.09	-9.30431	0.865889	1.24499	3.9064	0.000595894	1.19059	3.79513	0.0784568	-2.68829	-1.97269	0.2857872	0.02763815	0.3100755	0.1762918	0.1262505	0.1286584	0.691446	0.0669775	0.241576	1.08162	0.0679974	0.139082
27	-17150.38	-17141.68	-8.703524	0.903825	1.23638	3.90815	0.000595894	1.18591	3.79513	0.121365	-2.76335	-1.9571	0.2857872	0.02068096	0.3100755	0.1410842	0.1262505	0.06577287	0.680166	0.0658849	0.253949	1.12904	0.0630804	0.141267
28	-17145.51	-17137.2	-8.313661	0.903414	1.23638	3.89879	0.000184371	1.18591	3.78618	0.121365	-2.76335	-1.96068	0.2857872	0.02068096	0.3100755	0.1382132	0.1092471	0.04012159	0.742993	0.0529426	0.204064	1.12904	0.0630804	0.140763
29	-17121.97	-17113.9	-8.070614	0.917522	1.22141	3.88131	0.000184371	1.18159	3.76901	0.136863	-3.00019	-1.96341	0.2857872	0.02309985	0.3100755	0.1382132	0.08505504	0.02427136	0.199574	0.164885	0.635541	1.14667	0.0497775	0.140379
30	-17012.07	-17004.05	-8.019048	0.999907	1.20048	3.87994	0.000184371	1.1661	3.76901	0.222866	-3.14715	-1.97569	0.2857872	0.0349292	0.2549372	0.1382132	0.05955879	0.01887164	0.199574	0.164885	0.635541	1.24965	0.0429744	0.138666
31	-17000.28	-16992.49	-7.78995	1.00272	1.19352	3.85366	0.000184371	1.16273	3.76716	0.225672	-3.25742	-2.22443	0.2857872	0.0349292	0.2549372	0.09444297	0.05955879	0.01672548	0.18441	0.22834	0.58725	1.25317	0.0384877	0.108129
32	-16969.34	-16961.37	-7.965261	1.06041	1.18855	3.83818	1.58759e-05	1.15708	3.74309	0.281786	-3.2356	-2.12983	0.2857872	0.0349292	0.2549372	0.09444297	0.04324982	0.03058885	0.19928	0.224177	0.576543	1.3255	0.0393365	0.118857
33	-16939.37	-16931.83	-7.541613	1.06041	1.18223	3.82976	1.58759e-05	1.14812	3.73635	0.281786	-3.15507	-2.14769	0.2857872	0.04058829	0.2549372	0.09444297	0.02562009	0.0234048	0.216101	0.158691	0.625209	1.3255	0.0426356	0.116754
34	-16817.66	-16809.85	-7.806356	1.16713	1.16066	3.833	1.58759e-05	1.12807	3.73635	0.377675	-3.20063	-2.11357	0.2857872	0.05102661	0.1961839	0.08520472	0.03507588	0.02555542	0.216101	0.158691	0.625209	1.45889	0.0407364	0.120806
35	-16722.73	-16714.95	-7.777718	1.16713	1.14407	3.81392	1.58759e-05	1.11412	3.72372	0.377675	-3.28495	-2.1826	0.2857872	0.05102661	0.1271676	0.08520472	0.05377012	0.02555542	0.463792	0.271488	0.26472	1.45889	0.0374426	0.112748
36	-16683.05	-16675.54	-7.508659	1.17267	1.13911	3.80241	1.58759e-05	1.11412	3.726	0.382413	-3.46607	-2.3485	0.2857872	0.04946599	0.07246124	0.08520472	0.04708563	0.02434409	0.463792	0.271488	0.26472	1.46582	0.0312397	0.0955119
37	-16659.44	-16651.8	-7.637902	1.17267	1.13911	3.81614	1.58759e-05	1.11412	3.72931	0.382413	-3.46607	-2.22063	0.2857872	0.04096168	0.04092556	0.1287737	0.06381275	0.03152081	0.463792	0.271488	0.26472	1.46582	0.0312397	0.10854
38	-16615.37	-16607.54	-7.827153	1.26658	1.1384	3.81229	1.58759e-05	1.11412	3.71725	0.459451	-3.49485	-2.1303	0.2857872	0.04980644	0.03482837	0.1197679	0.07111012	0.03152081	0.545591	0.230072	0.224337	1.5832	0.0303533	0.118802
39	-16574.69	-16567.8	-6.894839	1.26658	1.1256	3.80064	1.58759e-05	1.10132	3.70924	0.459451	-3.49485	-2.16939	0.2857872	0.04980644	0.02509381	0.08315923	0.03365495	0.02626475	0.373934	0.316984	0.309082	1.5832	0.0303533	0.114248
40	-16556.22	-16548.71	-7.506493	1.26658	1.11741	3.79489	1.58759e-05	1.09682	3.70924	0.459451	-3.65967	-2.23428	0.2857872	0.04980644	0.01611329	0.1070404	0.04508917	0.05236445	0.373934	0.316984	0.309082	1.5832	0.0257409	0.107069
41	-16513.21	-16506.09	-7.120527	1.26658	1.09838	3.80486	1.58759e-05	1.07935	3.71554	0.459451	-3.7384	-2.19246	0.2857872	0.04980644	0.01147135	0.1070404	0.0266856	0.05236445	0.310286	0.433241	0.256473	1.5832	0.023792	0.111642
42	-16491.77	-16484.62	-7.155692	1.26658	1.08915	3.81796	1.58759e-05	1.07012	3.71953	0.459451	-3.7384	-2.09531	0.2857872	0.04472767	0.01147135	0.11406	0.02616298	0.05959115	0.459628	0.160458	0.379914	1.5832	0.023792	0.123032
43	-16431.22	-16424.3	-6.929191	1.26658	1.06241	3.84981	1.58759e-05	1.0451	3.72924	0.459451	-3.83385	-1.89238	0.291231	0.04472767	0.01000884	0.11406	0.01865042	0.04890786	0.409566	0.175324	0.41511	1.5832	0.0216262	0.150713
44	-16422.63	-16415.92	-6.703181	1.26658	1.06024	3.83884	1.58759e-05	1.04259	3.72423	0.459451	-3.81379	-1.94307	0.291231	0.04087879	0.01000884	0.1125051	0.01588381	0.04536272	0.409566	0.175324	0.41511	1.5832	0.0220644	0.143263
45	-16412.44	-16405.71	-6.733333	1.30446	1.06009	3.87066	1.58759e-05	1.04105	3.73162	0.488921	-3.73795	-1.74984	0.291231	0.05453102	0.01000884	0.1125051	0.009379935	0.05646457	0.416031	0.173404	0.410565	1.63056	0.0238028	0.173802
46	-16391.94	-16384.97	-6.967999	1.33907	1.05583	3.86203	1.58759e-05	1.03687	3.73587	0.515106	-3.74197	-1.84713	0.291231	0.05453102	0.01000884	0.1139463	0.008999387	0.08292513	0.416031	0.173404	0.410565	1.67382	0.0237074	0.157689
47	-16388.24	-16381.48	-6.765042	1.33939	1.05341	3.84656	1.58759e-05	1.03687	3.71624	0.51535	-3.87897	-1.81465	0.291231	0.05453102	0.01000884	0.1042662	0.009557443	0.04685015	0.416031	0.173404	0.410565	1.67422	0.0206722	0.162895
48	-16385.18	-16378.42	-6.763372	1.3553	1.05322	3.87043	1.58759e-05	1.03517	3.73518	0.527153	-3.7911	-1.7775	0.291231	0.05453102	0.01000884	0.1042662	0.01045249	0.04685015	0.289163	0.425473	0.285364	1.6941	0.0225707	0.16906
49	-16347.48	-16341.16	-6.327209	1.3553	1.03965	3.85527	1.58759e-05	1.02087	3.73022	0.527153	-3.75199	-1.85589	0.291231	0.05453102	0.006831325	0.1042662	0.009247824	0.04004156	0.143562	0.512623	0.343815	1.6941	0.023471	0.156314
50	-16334.82	-16328.47	-6.349558	1.36934	1.03337	3.86284	1.58759e-05	1.01614	3.73236	0.537459	-3.83778	-1.81337	0.291231	0.05530372	0.005982698	0.1042662	0.0118891	0.02889811	0.143562	0.512623	0.343815	1.71165	0.0215414	0.163104
51	-16306.01	-16299.81	-6.20122	1.40362	1.02247	3.85674	1.58759e-05	1.0067	3.72626	0.562185	-3.92662	-1.81337	0.291231	0.0583614	0.002417263	0.1042662	0.0124835	0.0360435	0.180452	0.490543	0.329006	1.7545	0.0197101	0.163104
52	-16288.38	-16282.05	-6.32658	1.40378	1.01534	3.84923	0.000175635	0.99911	3.72302	0.562185	-3.89807	-1.84668	0.291231	0.0583614	0.003297236	0.1042662	0.0124835	0.03807952	0.197931	0.53806	0.264009	1.7545	0.0202811	0.157761
53	-16290.28	-16283.17	-7.113343	1.389	1.01571	3.84638	0.000320593	0.99911	3.72757	0.551494	-3.87504	-1.90706	0.291231	0.0583614	0.003986091	0.1042662	0.03016523	0.06426306	0.197931	0.53806	0.264009	1.73584	0.0207535	0.148516
