Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
12	-8371.47	-8372.9	1.42696	0.0607169	0.00987529	0.215206	0.00449479	0.000731055	0.0159314	-2.80153	-4.61772	-1.53616	-2.6033	-0.414329	0.319128	0.0002098146	7.997215e-07	0.001030733	0.1378295	0.00116094	0.00122508	0.2228496	0.0993937	0.190531	0.000199097	0.568246	0.032844	0.108786	0.0151273	0.101378	0.227041	0.0197621	0.132439	0.296604	-4.19126	-2.2889	-1.48262	0.267265	1.99005
13	-8372.92	-8375.64	2.72693	0.0607169	0.0550816	0.0422833	0.00449479	0.00407762	0.00313018	-2.80153	-2.89894	-3.16336	-2.6033	-0.414329	0.154167	0.0002098146	4.278954e-06	0.001134506	0.1489038	0.001293746	0.0006594552	0.2267446	0.0993937	0.190531	0.000199097	0.568246	0.032844	0.108786	0.0151273	0.110924	0.216254	0.0191114	0.140138	0.27321	-4.19126	-2.19891	-1.5313	0.233786	1.99005
14	-8370.27	-8371.8	1.52936	0.0343562	0.0335474	0.0180085	0.00254334	0.00248347	0.00133314	-3.37097	-3.39479	-4.01691	-2.6033	-1.54178	0.1113122	2.73068e-05	6.110928e-06	0.0001335224	0.1489038	0.001293746	0.0006594552	0.2347922	0.0890848	0.274488	0.000178447	0.509308	0.0294375	0.0975031	0.0151273	0.105552	0.218009	0.0191114	0.133351	0.275426	-4.19126	-2.24855	-1.52322	0.233786	1.37839
15	-8374.09	-8374.36	0.272179	0.0343562	0.0335474	0.146707	0.00254334	0.00248347	0.0108605	-3.37097	-3.39479	-1.91932	-2.6033	-0.179525	0.1113122	9.604536e-05	0.0007786321	0.0008996424	0.1438591	0.001834398	0.0008468858	0.2509161	0.073173	0.399795	0.000146573	0.418339	0.0284589	0.0800877	0.0187185	0.108166	0.219264	0.0272035	0.157197	0.318655	-3.97824	-2.22409	-1.51748	0.373833	1.47278
16	-8373.1	-8373.99	0.892454	0.0343562	0.00855458	0.112181	0.00366988	0.000913788	0.011983	-3.37097	-4.76129	-2.18764	-2.23662	0.566993	0.4649294	0.00116675	0.0007786321	5.455669e-05	0.1422085	0.001834398	0.0008468858	0.2509161	0.0902006	0.260125	0.000180682	0.515688	0.0350814	0.0987244	0.0178782	0.105277	0.219264	0.024735	0.145654	0.303359	-4.02418	-2.25116	-1.51748	0.324639	0.767351
17	-8373.61	-8374.06	0.450113	0.0343562	0.0129471	0.123286	0.00501028	0.00188812	0.0179792	-3.37097	-4.34688	-2.09325	-1.92529	0.566993	1.944805	0.0005547886	0.0007786321	5.24004e-05	0.1696722	0.001834398	0.0008468858	0.2509161	0.113393	0.171068	0.000227138	0.648279	0.0441014	0.0229314	0.0157214	0.114175	0.226383	0.0226011	0.164137	0.325448	-4.15273	-2.17003	-1.48553	0.362975	0.767351
18	-8369.69	-8373.38	3.69071	0.0343562	0.0127505	0.123286	0.00501028	0.00185944	0.0179792	-3.37097	-4.36219	-2.09325	-1.92529	0.624448	0.6797286	0.0005797463	0.001024667	6.025492e-08	0.1559393	0.003589232	0.007267855	0.2730079	0.311128	0.402708	0.00265706	0.125706	0.103818	0.0539823	0.0199803	0.109362	0.229009	0.0294749	0.161331	0.337834	-3.91301	-2.21309	-1.47399	0.388793	0.844629
19	-8367.92	-8371.98	4.06195	0.0419748	0.0205706	0.123286	0.00484037	0.00237212	0.0142169	-3.17069	-3.88389	-2.09325	-2.16008	0.624448	0.7976343	4.949076e-05	0.001024667	7.305433e-10	0.163568	0.001761961	0.00841676	0.2637095	0.285953	0.451038	0.00244206	0.115534	0.0954176	0.0496143	0.0196122	0.109362	0.212199	0.0292429	0.163065	0.316401	-3.9316	-2.21309	-1.55023	0.399485	3.20059
20	-8365.91	-8370.89	4.98225	0.00797343	0.0205706	0.0435533	0.000919465	0.00237212	0.0050224	-4.83164	-3.88389	-3.13377	-2.16008	0.624448	0.7976343	6.114678e-05	0.0001137308	1.547626e-09	0.1493074	0.001601506	0.00832844	0.2648513	0.285953	0.451038	0.00244206	0.115534	0.0954176	0.0496143	0.0165702	0.0984141	0.205145	0.0247071	0.146741	0.305883	-4.10015	-2.31857	-1.58404	0.399485	0.353006
21	-8369.67	-8374.76	5.08588	0.0314556	0.0693953	0.066395	0.00362734	0.00800239	0.00765642	-3.45918	-2.66794	-2.71213	-2.16008	0.624448	1.016875	0.000119336	0.004191744	1.547626e-09	0.1545861	0.001601506	0.004225309	0.2428882	0.31161	0.491507	0.00266117	0.0361774	0.103979	0.0540659	0.0150748	0.099679	0.196447	0.0224774	0.148627	0.292914	-4.19473	-2.3058	-1.62736	0.399485	1.66627
22	-8363.8	-8373.13	9.328	0.0392613	0.0164969	0.0889249	0.00360371	0.00151422	0.00816222	-3.23751	-4.10458	-2.41996	-2.38828	0.624448	0.26747	3.464998e-05	1.097982e-05	1.547626e-09	0.1564962	5.030997e-05	0.004225309	0.2428882	0.350798	0.503428	0.00299584	0.0407271	0.0411859	0.0608652	0.0166	0.0862468	0.195624	0.0264393	0.137367	0.311575	-4.09835	-2.45054	-1.63156	0.465447	1.41207
23	-8370.04	-8373.7	3.66438	0.0392613	0.0387618	0.0187031	0.00360371	0.00355786	0.00171672	-3.23751	-3.25032	-3.97906	-2.38828	0.530421	1.244302	0.0002821632	3.955045e-05	1.495679e-06	0.1564962	5.030997e-05	0.01140494	0.224371	0.232406	0.595236	0.00354218	0.0481543	0.0486968	0.0719649	0.0163546	0.0862468	0.184934	0.0256912	0.135484	0.29051	-4.11325	-2.45054	-1.68776	0.451642	1.41207
24	-8376.37	-8374.08	-2.29528	0.0165271	0.0153669	0.120208	0.00151699	0.0014105	0.0110336	-4.10275	-4.17554	-2.11853	-2.38828	-1.24591	0.8695177	0.0001981186	0.000615632	0.0006035162	0.135608	0.002910322	0.01140494	0.224371	0.0327891	0.723143	0.00430334	0.086971	0.0653642	0.0874291	0.0163546	0.086366	0.184934	0.0247828	0.130874	0.280238	-4.11325	-2.44916	-1.68776	0.415642	0.0443773
25	-8376.55	-8373.55	-2.9986	0.0150907	0.0153669	0.120208	0.0030569	0.00311286	0.0243503	-4.19368	-4.17554	-2.11853	-1.59668	1.225	2.411179	0.0005014069	0.000615632	0.0006035162	0.138066	0.002910322	0.01255526	0.224371	0.0746721	0.369501	0.00980021	0.198063	0.148857	0.199106	0.0133113	0.0851965	0.184934	0.0219068	0.14021	0.304351	-4.31914	-2.4628	-1.68776	0.498182	0.226645
26	-8373.62	-8372.88	-0.73881	0.0124713	0.0140132	0.0892422	0.0011518	0.00129421	0.00824209	-4.38433	-4.26775	-2.4164	-2.3821	1.225	0.2828385	0.0002491367	5.471591e-05	0.0006035162	0.1362489	0.000753486	0.01255526	0.224371	0.0679303	0.33614	0.0605085	0.180181	0.174111	0.18113	0.0157638	0.0851965	0.187414	0.0259429	0.14021	0.308432	-4.15004	-2.4628	-1.67444	0.498182	0.226645
27	-8374.39	-8369.25	-5.14186	0.0124713	0.0547973	0.0569551	0.000315419	0.00138591	0.00144048	-4.38433	-2.90411	-2.86549	-3.67728	-0.229677	1.506838	0.0002327661	0.0006687534	0.0004274412	0.1576398	0.000753486	0.01089407	0.224371	0.073867	0.365517	0.0657966	0.195928	0.101932	0.19696	0.0144455	0.0851965	0.172765	0.0243424	0.143566	0.291131	-4.23737	-2.4628	-1.75582	0.521838	0.226645
28	-8369.24	-8369.07	-0.176045	0.120534	0.035479	0.0569551	0.00304849	0.000897319	0.00144048	-2.11582	-3.33882	-2.86549	-3.67728	0.707687	1.506838	0.001266884	6.38736e-05	6.434904e-06	0.1576398	0.000753486	0.00392519	0.2430849	0.0658017	0.325607	0.167799	0.174535	0.0908028	0.175454	0.0140638	0.0925014	0.172765	0.0235783	0.155081	0.289645	-4.26415	-2.38053	-1.75582	0.51672	0.226645
29	-8371.24	-8368.99	-2.24528	0.120534	0.036206	0.124972	0.00304849	0.000915706	0.00316075	-2.11582	-3.31853	-2.07966	-3.67728	0.450556	1.874194	0.0008367131	0.001272115	4.846684e-05	0.1576398	0.000753486	0.003053738	0.2430849	0.0797681	0.182467	0.203415	0.21158	0.110076	0.212694	0.017692	0.0925014	0.181663	0.0289457	0.15134	0.297216	-4.03464	-2.38053	-1.7056	0.492308	0.226645
30	-8375.63	-8371.22	-4.40889	0.00363367	0.0180551	0.0695707	0.000425494	0.00211421	0.00814656	-5.61751	-4.01433	-2.66541	-2.14475	0.450556	0.6015108	4.991989e-05	0.005140294	0.000521679	0.1650706	0.0009202192	0.003650154	0.2425871	0.0797681	0.182467	0.203415	0.21158	0.110076	0.212694	0.0126337	0.0925014	0.181663	0.0206699	0.15134	0.297216	-4.37139	-2.38053	-1.7056	0.492308	0.364548
31	-8382.43	-8380.21	-2.22136	0.0398536	0.0745768	0.00739412	0.00466676	0.00873276	0.000865834	-3.22254	-2.59593	-4.90707	-2.14475	-0.105565	0.0989563	4.991989e-05	0.009564504	0.001036578	0.1554968	3.589741e-05	0.003650154	0.2345613	0.0956141	0.218714	0.243823	0.0549594	0.131942	0.254946	0.0092033	0.0925014	0.180506	0.0150574	0.15134	0.295323	-4.68819	-2.38053	-1.71199	0.492308	1.71269
32	-8376.51	-8373.64	-2.87285	0.0398536	0.0126661	0.0246993	0.00466676	0.00148317	0.00289223	-3.22254	-4.36882	-3.70098	-2.14475	-0.105565	0.6670064	9.394375e-05	0.002724971	0.0005840984	0.1554968	0.0001795448	0.005650324	0.2462416	0.117621	0.269055	0.299942	0.046055	0.162311	0.105016	0.00867915	0.0907199	0.186035	0.0141999	0.148426	0.30437	-4.74683	-2.39998	-1.68182	0.492308	1.71269
33	-8385.78	-8376.69	-9.09019	0.0509469	0.0126661	0.025318	0.00515181	0.00128081	0.00256019	-2.97697	-4.36882	-3.67624	-2.29143	-0.374872	6.54707	0.0002304477	0.009784608	0.0005840984	0.1373522	0.0001795448	0.01281891	0.2387316	0.356997	0.0933848	0.271521	0.0514351	0.109378	0.117284	0.0113072	0.0852769	0.186035	0.0184996	0.139521	0.30437	-4.48232	-2.46185	-1.68182	0.492308	1.35032
34	-8376.66	-8375.89	-0.768847	0.0509469	0.0247943	0.025318	0.00690708	0.00336147	0.00343246	-2.97697	-3.69714	-3.67624	-1.99824	-1.30996	1.516833	0.001006685	0.009784608	0.0001340152	0.1373522	0.0001795448	0.0002017075	0.2387316	0.370543	0.0969282	0.281824	0.0533868	0.0755832	0.121735	0.00957235	0.0780605	0.185723	0.0152243	0.124151	0.295382	-4.64888	-2.55027	-1.6835	0.464015	1.35032
35	-8370.33	-8371.45	1.12411	0.0169518	0.0247943	0.0484833	0.00241266	0.00352884	0.00690036	-4.07738	-3.69714	-3.02654	-1.94965	1.18295	1.516833	9.681663e-05	0.0009120011	1.249493e-05	0.1339111	6.457335e-05	0.001063954	0.2387316	0.370543	0.0969282	0.281824	0.0533868	0.0755832	0.121735	0.0102268	0.0807312	0.185723	0.0159443	0.125866	0.289555	-4.58274	-2.51663	-1.6835	0.44409	1.40886
36	-8375.63	-8372.67	-2.95494	0.117587	0.0247943	0.0484833	0.0167615	0.0035343	0.00691103	-2.14057	-3.69714	-3.02654	-1.9481	-0.580625	6.802398	0.0008436808	0.0009120011	5.549346e-06	0.1339111	6.457335e-05	0.002982518	0.2408532	0.336737	0.0880851	0.396971	0.0485161	0.0190625	0.110628	0.00819707	0.084328	0.185723	0.0129662	0.133391	0.293778	-4.80398	-2.47304	-1.6835	0.458569	1.53007
37	-8370.37	-8370.32	-0.0464562	0.0800315	0.0247943	0.0735401	0.00365795	0.00113326	0.00336126	-2.52534	-3.69714	-2.60992	-3.08552	0.396559	2.94181	0.000234023	0.0009120011	5.549346e-06	0.1210353	6.457335e-05	0.0020949	0.2408532	0.165367	0.0432574	0.194947	0.0238256	0.00936133	0.563241	0.00923121	0.0895398	0.193391	0.0142264	0.137992	0.298039	-4.68516	-2.41307	-1.64304	0.432511	0.346424
38	-8371.12	-8370.04	-1.08532	0.045661	0.0247943	0.164527	0.002087	0.00113326	0.00751992	-3.08651	-3.69714	-1.80468	-3.08552	0.396559	0.8239021	2.063205e-05	0.0009120011	8.728267e-05	0.122353	0.001428618	0.0020949	0.2307277	0.164899	0.043135	0.194396	0.026589	0.00933483	0.561647	0.00923121	0.0821539	0.193391	0.0142264	0.126609	0.298039	-4.68516	-2.49916	-1.64304	0.432511	0.346424
39	-8374.83	-8370.71	-4.12383	0.205551	0.019551	0.164527	0.009395	0.000893607	0.00751992	-1.58206	-3.93473	-1.80468	-3.08552	-2.37519	1.412748	9.923615e-05	0.001222639	8.728267e-05	0.1443419	0.001428618	0.0020949	0.2307277	0.162758	0.0425749	0.191871	0.0262437	0.0221981	0.554354	0.0134391	0.0835501	0.189357	0.0207114	0.128761	0.291822	-4.30958	-2.48231	-1.66412	0.432511	0.346424
40	-8376.84	-8375.71	-1.13026	0.101346	0.0748322	0.164527	0.00463216	0.00342031	0.00751992	-2.28921	-2.59251	-1.80468	-3.08552	-0.209082	0.2743016	4.193831e-05	0.008134301	0.001033044	0.1443419	0.0005745459	0.0020949	0.2307277	0.455478	0.0385304	0.173644	0.0237507	0.0200894	0.288507	0.0103081	0.0875069	0.189357	0.0153644	0.130431	0.282241	-4.57483	-2.43604	-1.66412	0.399129	0.346424
41	-8379.18	-8377.32	-1.86348	0.0313096	0.0791277	0.164527	0.00143105	0.00361664	0.00751992	-3.46383	-2.53669	-1.80468	-3.08552	-0.209082	0.2743016	0.0001144508	0.008134301	0.001033044	0.1518476	0.0007906651	0.002905343	0.2397568	0.451672	0.0382084	0.18055	0.0235522	0.0199215	0.286096	0.0118624	0.102719	0.214383	0.0171461	0.148472	0.309874	-4.43438	-2.27576	-1.53999	0.368401	0.346424
42	-8369.36	-8371.62	2.25992	0.0313096	0.0791277	0.364631	0.00157036	0.00396872	0.0182884	-3.46383	-2.53669	-1.00887	-2.99262	0.173036	0.2495954	0.0001144508	4.617787e-05	0.0003241613	0.1518476	0.0007906651	0.002905343	0.23729	0.411644	0.0348224	0.16455	0.110085	0.0181561	0.260742	0.0212274	0.101348	0.217208	0.0306826	0.146491	0.313957	-3.85246	-2.28919	-1.5269	0.368401	0.106058
43	-8379.71	-8371.46	-8.24819	0.0313096	0.00978329	0.597308	0.00157036	0.000490689	0.0299585	-3.46383	-4.62708	-0.515323	-2.99262	0.173036	4.195961	0.001454466	0.004558496	0.0003241613	0.1518476	0.0008962458	0.00494633	0.23729	0.411644	0.0348224	0.16455	0.110085	0.0181561	0.260742	0.0144195	0.101348	0.217208	0.0208422	0.146491	0.313957	-4.23918	-2.28919	-1.5269	0.368401	0.863676
44	-8372.42	-8370.49	-1.92107	0.0344955	0.0204871	0.597308	0.00173015	0.00102755	0.0299585	-3.36693	-3.88796	-0.515323	-2.99262	0.702583	0.9118892	0.0001222136	0.0001561429	0.0003241613	0.1518476	0.001116567	0.00494633	0.23729	0.460633	0.0389665	0.0651251	0.123186	0.0203168	0.291772	0.0204064	0.11659	0.226081	0.0288656	0.16492	0.319799	-3.8919	-2.14909	-1.48686	0.3468	0.863676
45	-8371.72	-8371.71	-0.0129274	0.0267715	0.0767636	0.597308	0.00134275	0.00385014	0.0299585	-3.62042	-2.56702	-0.515323	-2.99262	1.79766	1.688292	0.002053143	0.0001561429	0.0003241613	0.1518476	1.34858e-05	0.0005098615	0.2433621	0.460633	0.0389665	0.0651251	0.123186	0.0203168	0.291772	0.0163249	0.101788	0.222664	0.0237334	0.147981	0.323713	-4.11507	-2.28486	-1.50209	0.374191	0.588686
46	-8372.97	-8369.27	-3.70207	0.0267715	0.00877428	0.350323	0.00145048	0.00047539	0.0189805	-3.62042	-4.73593	-1.0489	-2.91544	-0.53435	4.034114	0.002053143	2.098636e-05	0.0003241613	0.1472284	0.0001458219	0.006360893	0.2512286	0.419921	0.0355225	0.0593691	0.112299	0.106904	0.265985	0.0184339	0.110379	0.222664	0.0257445	0.154154	0.31097	-3.99356	-2.20383	-1.50209	0.334031	0.588686
47	-8368.72	-8374.41	5.69805	0.0267715	0.0521035	0.145131	0.00470821	0.00916326	0.0255238	-3.62042	-2.95452	-1.93012	-1.73803	1.3442	0.9194014	0.0005894984	2.098636e-05	0.0003662546	0.1472284	9.522377e-06	0.006360893	0.2512286	0.37184	0.0306821	0.0512793	0.188654	0.0923367	0.265207	0.0184339	0.110379	0.22637	0.0257445	0.154154	0.316146	-3.99356	-2.20383	-1.48558	0.334031	0.177409
