Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
24	-11629.69	-11626.03	-3.657752	0.044251	0.0589026	0.477632	0.0001562129	-2.89827	-2.61138	-0.516098	2.472536	0.03925428	0.8606617	0.007960938	0.1305527	0.01747347	0.810484	0.0900835	0.0994329	0.0551185	0.073433	0.596845
25	-11635.92	-11631.86	-4.054295	0.0390122	0.0533212	0.500366	0.0001562129	-3.02475	-2.71121	-0.469584	2.472536	0.05696972	0.8606617	0.01276348	0.1305527	0.01154454	0.810484	0.0900835	0.0994329	0.04857	0.0664563	0.625263
26	-11632.51	-11628.11	-4.40203	0.0352298	0.0523638	0.513132	9.674771e-05	-3.12547	-2.72825	-0.444267	2.472536	0.05696972	0.8248126	0.01276348	0.1305527	0.02067584	0.115474	0.420445	0.464081	0.0439163	0.0653338	0.641294
27	-11631.16	-11626.45	-4.70705	0.0408063	0.051765	0.502305	9.674771e-05	-2.97815	-2.73977	-0.465597	2.472536	0.05696972	0.9340616	0.0139166	0.1278615	0.03132796	0.115474	0.420445	0.464081	0.0508869	0.0645854	0.62776
28	-11633.68	-11628.75	-4.932966	0.0376571	0.0541278	0.518559	9.674771e-05	-3.05866	-2.69505	-0.433744	2.472536	0.05696972	0.9340616	0.01339897	0.1314903	0.04192611	0.115474	0.420445	0.464081	0.0469505	0.0675388	0.648078
29	-11632.42	-11627.64	-4.780617	0.0356845	0.0570376	0.512084	9.674771e-05	-3.11261	-2.6426	-0.446312	2.472536	0.05696972	0.8620838	0.01339897	0.1314903	0.03883515	0.115474	0.420445	0.464081	0.0444847	0.0711761	0.639984
30	-11632.71	-11627.93	-4.778087	0.0385042	0.0558754	0.523209	9.674771e-05	-3.03636	-2.66322	-0.424816	2.472536	0.05696972	0.8620838	0.01375207	0.1314903	0.03883515	0.115474	0.420445	0.464081	0.0480093	0.0697233	0.65389
31	-11634.26	-11629.7	-4.562011	0.0462194	0.0579155	0.48645	9.674771e-05	-2.85331	-2.6273	-0.497676	2.463845	0.05696972	0.8620838	0.01375207	0.1314903	0.03883515	0.249242	0.0433572	0.707401	0.0576533	0.0722734	0.607942
32	-11630.91	-11626.56	-4.347307	0.045855	0.0567084	0.5056	4.933176e-05	-2.8602	-2.64756	-0.458963	2.463845	0.04443373	0.8422877	0.01375207	0.1314903	0.03196904	0.249242	0.0433572	0.707401	0.0572571	0.0708238	0.631938
33	-11632.71	-11628.77	-3.940409	0.0463085	0.0603229	0.47865	4.933176e-05	-2.85035	-2.58572	-0.513745	2.204355	0.04443373	0.8422877	0.01375207	0.1314903	0.03196904	0.241852	0.0437841	0.714364	0.057824	0.075342	0.598251
34	-11632.71	-11628.76	-3.950002	0.0423091	0.0603229	0.47865	4.933176e-05	-2.94078	-2.58572	-0.513745	2.639933	0.02918806	0.8422877	0.01375207	0.1314903	0.01674718	0.614985	0.111335	0.27368	0.0528247	0.075342	0.598251
35	-11630.12	-11626.3	-3.81696	0.0475286	0.0542184	0.479028	0.0004270683	-2.83231	-2.6995	-0.513745	2.542474	0.02918806	0.8422877	0.01375207	0.1314903	0.01674718	0.614985	0.111335	0.27368	0.0588769	0.0672392	0.598251
36	-11628.13	-11624.42	-3.703033	0.0485611	0.055052	0.469954	0.0001226746	-2.80432	-2.67856	-0.532238	2.542474	0.02602757	0.8828018	0.01375207	0.1314903	0.01451189	0.614985	0.111335	0.27368	0.060548	0.0686616	0.587289
37	-11629.88	-11626.13	-3.744468	0.0373659	0.0530491	0.469954	0.0001226746	-3.06714	-2.71571	-0.532238	2.542474	0.03850453	0.8828018	0.01174099	0.1314903	0.008964964	0.614985	0.111335	0.27368	0.0465541	0.066158	0.587289
38	-11629.54	-11626.2	-3.335939	0.040417	0.0569882	0.469954	0.0001226746	-2.9884	-2.64392	-0.532238	2.484327	0.03799306	0.8280091	0.008428559	0.1314903	0.008964964	0.483202	0.149443	0.367355	0.0503679	0.0710819	0.587289
39	-11631.02	-11627.47	-3.548543	0.0375868	0.0517216	0.489184	0.0001226746	-3.06123	-2.74111	-0.492125	2.484327	0.03567551	0.9224019	0.01272815	0.1314903	0.005555181	0.483202	0.149443	0.367355	0.0468302	0.0644987	0.611326
40	-11629.49	-11626.31	-3.183677	0.0409597	0.0547482	0.470728	0.0003252826	-2.98	-2.68783	-0.531023	2.484327	0.02234928	0.9224019	0.01272815	0.1314903	0.005555181	0.55517	0.1717	0.27313	0.050793	0.0680287	0.588003
41	-11630.31	-11626.94	-3.37076	0.0435328	0.0523121	0.470728	0.0003252826	-2.9186	-2.73362	-0.531023	2.484327	0.03289684	0.9224019	0.01272815	0.1314903	0.005555181	0.447714	0.138467	0.41382	0.0540094	0.0649835	0.588003
42	-11629.36	-11626.25	-3.107352	0.0435279	0.0563392	0.493697	0.0003252826	-2.91871	-2.65901	-0.483349	2.484327	0.0214641	0.9224019	0.01272815	0.1314903	0.004862439	0.447714	0.138467	0.41382	0.0540033	0.0700173	0.616714
43	-11630.2	-11627.18	-3.020882	0.0431339	0.0612875	0.464972	0.0003252826	-2.92787	-2.57436	-0.543333	2.484327	0.0214641	0.9224019	0.01272815	0.1331557	0.004862439	0.447714	0.138467	0.41382	0.0535108	0.0762028	0.580809
44	-11628.14	-11624.7	-3.447374	0.0441254	0.0578404	0.496897	0.0002705932	-2.90373	-2.63161	-0.476773	2.484327	0.03229453	0.9224019	0.01272815	0.137768	0.00598456	0.447714	0.138467	0.41382	0.0548185	0.0719622	0.620783
45	-11629.56	-11626.15	-3.409115	0.0475621	0.0563286	0.497485	0.0008587278	-2.84079	-2.66877	-0.476773	2.484327	0.02490189	0.9224019	0.01451525	0.137768	0.006604349	0.458535	0.0810453	0.460419	0.0583793	0.0693373	0.620783
46	-11630.77	-11627.24	-3.538169	0.0454052	0.0510429	0.497932	0.000842552	-2.88772	-2.76859	-0.475842	2.470928	0.02490189	0.8790528	0.02000762	0.137768	0.006373012	0.458535	0.0810453	0.460419	0.0557033	0.0627504	0.621362
47	-11631.12	-11627.58	-3.542603	0.047728	0.049642	0.498413	0.001324242	-2.84723	-2.80681	-0.475842	2.470928	0.01649793	0.8906374	0.02170372	0.137768	0.008749087	0.629326	0.111232	0.259441	0.0580047	0.0603972	0.621362
48	-11632.14	-11628.75	-3.387209	0.0492223	0.0467755	0.529457	0.0005261888	-2.79901	-2.85057	-0.413753	2.470928	0.01649793	0.8906374	0.02171679	0.137768	0.005557901	0.629326	0.111232	0.259441	0.0608702	0.0578116	0.661164
49	-11630.86	-11627.92	-2.934393	0.0501414	0.0505756	0.515603	0.001445265	-2.79901	-2.79014	-0.442081	2.470928	0.01275805	0.8906374	0.02171679	0.1427658	0.003187004	0.270042	0.208732	0.521226	0.0608702	0.0614129	0.642697
50	-11631.91	-11628.74	-3.169788	0.0474709	0.0478771	0.494892	0.001445265	-2.85541	-2.84663	-0.483197	2.470928	0.016391	0.8906374	0.02171679	0.1427658	0.003915406	0.270042	0.208732	0.521226	0.057532	0.0580398	0.616808
51	-11627.63	-11624.57	-3.053621	0.0528846	0.0491433	0.494155	0.0007087893	-2.72999	-2.8044	-0.483197	2.470928	0.016391	0.8906374	0.02171679	0.1427658	0.003630228	0.252362	0.260537	0.487101	0.0652197	0.0605432	0.616808
52	-11629.05	-11626.07	-2.981384	0.0527081	0.0527119	0.478519	0.0005323332	-2.72999	-2.72992	-0.515028	2.470928	0.04024483	0.8906374	0.009922404	0.13323	0.003443647	0.252362	0.260537	0.487101	0.0652197	0.0652244	0.597484
53	-11629.04	-11625.78	-3.26353	0.0505609	0.0568329	0.478519	0.0005323332	-2.77202	-2.65391	-0.515028	2.470928	0.04024483	0.8906374	0.009645787	0.13323	0.006335105	0.252362	0.260537	0.487101	0.0625358	0.0703757	0.597484
54	-11628.28	-11624.79	-3.49255	0.052799	0.0502547	0.478519	0.0005323332	-2.72825	-2.77816	-0.515028	2.470928	0.04024483	0.8906374	0.01395231	0.1430862	0.005896589	0.252362	0.260537	0.487101	0.0653333	0.062153	0.597484
55	-11630.75	-11626.78	-3.972473	0.052799	0.049787	0.520933	0.0005323332	-2.72825	-2.78761	-0.430013	2.470928	0.04749764	0.8906374	0.01747177	0.1558544	0.00732248	0.252362	0.260537	0.487101	0.0653333	0.0615683	0.650501
